comment,chat_luong,dong_goi,van_chuyen,gia_ca
"mỏng manh vợt hơi cong giá ukila",negative,negative,neutral,neutral
"vợt không căng đánh không được cho trẻ con chơi tạm",negative,neutral,neutral,neutral
"dây vợt chùng chất lượng bình thường",negative,neutral,neutral,neutral
"mua 2 vợt không được tặng cầu lông",negative,negative,neutral,neutral
"bao bên ngoài cũ bị rách hơi thất vọng vợt bên trong ổn",negative,negative,neutral,neutral
"vợt mềm giống hình tiền nào của nấy",positive,positive,neutral,neutral
"dây không căng lắm tạm tạm",negative,neutral,neutral,neutral
"cầu nhựa không cho cầu lông không hài lòng vợt tạm tạm",negative,neutral,neutral,neutral
"hơi nặng cũng ok",positive,neutral,neutral,neutral
"cầu tặng nhẹ quá vợt mới đánh bung tay cầm. chán",negative,negative,neutral,neutral
"cán không chắc chắn cầm chơi tuột lớp quấn",negative,neutral,neutral,neutral
"cán mặt vợt cong dây không căng",negative,negative,neutral,neutral
"trừ điểm đóng gói hộp cầu móp vợt không móp",negative,negative,neutral,neutral
"dán keo khớp chảy tùm lum lưới chùng như lưới cá",negative,neutral,neutral,neutral
"dây không căng vợt móp",negative,negative,neutral,neutral
"đóng gói sơ sài vận chuyển cong nhẹ",negative,negative,negative,neutral
"vợt yếu mùi sơn nhiều mới đánh đã méo",negative,negative,neutral,neutral
"nhũn đánh không có lực không như mong đợi",negative,neutral,neutral,neutral
"giá gần 200k dở hơn loại 99k nhẹ dây không căng",negative,neutral,neutral,negative
"lớp sơn không tốt chất lượng trung bình",negative,neutral,neutral,neutral
"vợt cong vẹo lưới không căng rẻ tiền chịu thôi. thất vọng",negative,negative,neutral,neutral
"không như kỳ vọng",negative,neutral,neutral,neutral
"tạm ổn giá cũng được. giao hàng nhanh",neutral,neutral,positive,positive
"dây chùng khớp nối lỏng lẻo không đáng mua",negative,neutral,neutral,negative
"băng quấn mới chơi 1 lần bong",negative,neutral,neutral,neutral
"sản phẩm giao đúng màu đúng mẫu gói hàng kĩ. thảm dày dặn nên mua sử dụng",positive,positive,neutral,neutral
"thảm có mùi khá nồng bề mặt bị tróc lớp in dính bụi xốp. giao hàng nhanh",negative,negative,positive,neutral
"giao hàng nhanh. gói hàng chỉ có lớp bọc nhưng vận chuyển không ảnh hưởng mấy. thảm vân đẹp nhiều lỗ. shop hoàn 15k",positive,negative,positive,neutral
"đúng mô tả màu ưng ý họa tiết đẹp. giá rẻ. túi đựng thảm quá nhỏ lấy ra cực khó",negative,negative,neutral,positive
"tạm ổn tiền nào của đó. túi đựng nhỏ xíu không đựng được",negative,neutral,neutral,neutral
"chất lượng không như mong đợi. thảm dày nhưng không bám quá trơn tuột động tác",negative,negative,neutral,neutral
"giao hàng đúng mẫu mặt sau nhiều dấu chân bẩn. giao hàng dịp lễ hơi lâu",negative,negative,negative,neutral
"lỗi nhẹ mặt dưới xíu thảm có mùi mút nhẹ liên kết 2 lớp không ổn dễ bong",negative,neutral,neutral,neutral
"đặt màu xanh than giao màu đỏ. thảm bị bung",negative,negative,neutral,neutral
"đặt 8mm nhận 6mm thảm nhẹ chất lượng bình thường. giao không đúng loại hàng",negative,negative,neutral,neutral
"giống mô tả thảm không quá dày. mùi cao su nồng",negative,negative,neutral,neutral
"thảm móp nhiều chỗ chất dễ bong trầy nhanh xẹp. nhìn giống 6mm hơn 8mm",negative,negative,neutral,neutral
"giao nhanh đóng gói tốt màu đẹp. túi nhỏ nhét cực. thảm gãy gập nhiều lỗ li ti. không mua lại",negative,negative,positive,neutral
"thảm hôi túi đựng cuốn nhỏ vẫn không nhét được",negative,neutral,neutral,neutral
"thảm rách lủng. đánh giá 3 sao hi vọng shop kiểm tra cẩn thận",negative,negative,neutral,neutral
"đặt hỏa tốc nhưng giao siêu lâu. thảm đẹp nhưng mùi cao su nặng túi đựng quá bé",negative,negative,negative,neutral
"sản phẩm bình thường. đổi màu thái độ nhân viên kho kém",negative,neutral,neutral,neutral
"giao đúng mẫu đúng màu thảm dày có độ bám. túi rút mỏng khó bỏ thảm mau rách",negative,negative,neutral,neutral
"thảm có mùi ghê. không có thương hiệu gì. bọc túi bóng không giấy tờ",negative,neutral,neutral,neutral
"đặt một kiểu giao một kiểu chất lượng vẫn thế",negative,negative,neutral,neutral
"thảm đẹp nhưng quá mỏng mặt dưới không bám sàn mùi khó chịu định tuyến lệch. tạm ổn so với giá",negative,neutral,neutral,positive
"mở ra thấy mốc dơ mùi ẩm xộc lên. xài được nhưng phải giặt gấp. chuẩn bị hàng chậm giao chậm",negative,neutral,negative,neutral
"giao hàng nhanh gọi điện đổi màu. mút không xịn gãy form",negative,neutral,positive,neutral
"đặt màu tím giao màu xanh. giá khá rẻ,negative,neutral,neutral,positive,neutral
thảm hơi bẩn như dùng rồi. ship nhanh""",negative,negative,positive,positive
"màu tím nhạt. không thấm hút và sẽ trơn nếu đổ mồ hôi",negative,neutral,neutral,neutral
"thảm mỏng chắc giao nhầm 6mm. không giống hình không logo",negative,negative,neutral,neutral
"thảm 8mm nhưng thực tế mỏng mùi nhựa nhiều bám dính không tốt. tạm so với giá",negative,neutral,neutral,positive
"đặt hồng nhận xanh giá cao chọn màu nhưng gửi ngẫu nhiên. không hài lòng",negative,negative,neutral,negative
"khoảng 5-6mm không phải 8mm. giao nhanh mặt dưới bị thủng mặt trên bình thường",negative,neutral,positive,neutral
"không giống ảnh mô tả màu sắc tổng thể cũng ok",negative,negative,neutral,neutral
"thảm đẹp và chất lượng shop chuẩn bị hàng quá chậm",positive,neutral,negative,neutral
"đóng gói chán dã man có 1 lớp màng bọc móp mấy lỗ khi vận chuyển",negative,negative,negative,neutral
"thảm cũng được nhưng túi rách nhỏ khó bỏ thảm",negative,negative,neutral,neutral
"thảm rộng hơi trượt 1 xíu. bị lủng 1 chỗ",negative,neutral,neutral,neutral
"mùi nhựa không nồng độ dày vừa phải túi mỏng không chắc chắn. thảm dơ",negative,negative,neutral,neutral
"túi chán mới đã rách. mặt dưới ngẫu nhiên",negative,negative,neutral,neutral
"giao sai màu ghi gọi báo nhưng không gọi",negative,negative,neutral,neutral
"thảm bị lỗi khá nhiều độ bám ít chống tay trượt. đổi hàng phức tạp",negative,neutral,neutral,neutral
"màu sáng chói lòa chất thảm tạm định tuyến mờ không rõ",negative,neutral,neutral,neutral
"giao nhanh màu sắc đẹp hình hơi mờ. bị thủng 1 lỗ",negative,neutral,positive,neutral
"chất lượng ổn giao nhanh thấm nước tương đối chống trượt không ổn",negative,neutral,positive,neutral
"đóng gói sơ sài hàng ướt hết giao nhanh thảm được",negative,negative,positive,neutral
"mô tả 10mm nhưng thực tế 8mm chất liệu nhẹ cứng",negative,neutral,neutral,neutral
"soạn nhầm màu xanh than thành da trời nhân viên làm ăn kém không hỏi ý khách",negative,negative,neutral,neutral
"vân in mờ tịt thảm màu xấu trơn nhìn như hàng fake",negative,neutral,neutral,neutral
"đặt đỏ giao xanh không quá dày chống trơn. không ưng do sai màu",negative,negative,positive,neutral
"thảm có vài lỗ thủng mỏng đặt 6mm còn 4mm",negative,neutral,neutral,neutral
"hỗ trợ đổi hàng nhiệt tình nhưng thảm đổi vẫn in lỗi. hàng rẻ kiểm hàng kém tâm",negative,neutral,neutral,positive
"ghi có túi nhưng giao không có thảm ok lỗi nhỏ",negative,neutral,neutral,neutral
"thảm lỗi mờ định tuyến dơ bề mặt không vân. đổi mới giống hình hơn nhưng định tuyến vẫn mờ. chăm sóc tốt giao nhanh",negative,negative,positive,neutral
"bình luận tiếng anh về việc không chọn được màu",neutral,neutral,neutral,neutral
"thanh toán thảm 8mm giao 6mm",negative,neutral,neutral,neutral
"trơn nếu có mồ hôi nhận bị lỗi",negative,negative,neutral,neutral
"vết bẩn 2 mặt 1 mặt thủng lỗ",negative,negative,neutral,neutral
"thảm khá trơn không bám",negative,neutral,neutral,neutral
"thảm rách bao bì rách do vận chuyển cần bọc chống sốc",negative,negative,negative,neutral
"chất lượng tốt túi nhỏ khó bỏ",positive,neutral,neutral,neutral
"định tuyến chưa thẳng cắt lỗi bám không tốt độ dày đúng mô tả",negative,positive,neutral,neutral
"giao nhanh đúng mẫu vết hằn vân trơn độ bám tạm ổn",negative,positive,positive,neutral
"có mùi hôi sai màu 2 mặt không giống mô tả",negative,negative,neutral,neutral
"sale giá 26k giao hàng lỗi",negative,neutral,neutral,neutral
"móp ở phía trong giữa không do vận chuyển. 6mm dễ đau gối",negative,neutral,neutral,neutral
"giao hàng không kĩ dơ 2 đầu mặc dù có bọc",negative,negative,neutral,neutral
"không lựa được màu hàng móp méo biến dạng",negative,negative,neutral,neutral
"thảm dày dặn oke xốp cứng không mềm. giao sai màu",negative,negative,neutral,neutral
"hoàn hàng đặt lại giao 6mm thay vì 8mm màu không đậm nét dơ nhẹ",negative,negative,neutral,neutral
"móp lằn vết bẩn nhẹ giao lâu hơn dự kiến",negative,negative,negative,neutral
"êm chống trượt tạm ổn giá rẻ không được chọn màu",negative,neutral,neutral,positive
"êm giao khá nhanh giá hơi chát chất lượng cũng đi",positive,neutral,positive,negative
"giao sai màu thảm dày chấp nhận được",negative,negative,neutral,neutral
"thảm cứng cáp mùi nhựa dơ và bung nhựa như dùng rồi giao hàng nhanh",negative,negative,positive,neutral
"thảm dơ khiếu nại hỗ trợ nhanh chóng kịp thời",negative,negative,neutral,neutral
"hàng rất êm mịn xịn xò",positive,neutral,neutral,neutral
"giao hàng nhanh thảm có 1 lỗ",positive,neutral,positive,neutral
"thảm tím xám ok mềm dễ cuộn thảm xanh thô cứng khó cuộn",positive,neutral,neutral,neutral
"to dài đúng kích thước dễ tróc giao nhanh",negative,negative,positive,neutral
"gửi nhầm màu nhắn đổi cũng nhầm",negative,negative,neutral,neutral
"xước hơi cũ hỗ trợ tốt",negative,negative,neutral,neutral
"êm ái đúng màu lẹm mất miếng dùng ok",negative,positive,neutral,neutral
"đặt 8mm đo 6mm mềm không cứng cáp",positive,neutral,neutral,neutral
"đặt 8mm giao 6mm giao mất 10 ngày shop hoàn tiền",negative,negative,negative,neutral
"dày tốt nhưng có vết đọng dơ",negative,neutral,neutral,neutral
"bẩn toàn vết giày lau không sạch lỗi bên phân phối",negative,neutral,neutral,neutral
"thảm bẩn cả 2 mặt như hàng tồn ế sale",negative,negative,neutral,neutral
"gửi sai màu đen và bị gì không rõ",negative,negative,neutral,neutral
"bị dơ túi đựng khó nhét",negative,negative,neutral,neutral
"chất lượng đáng 5 sao chọn xanh giao tím",positive,neutral,neutral,neutral
"đúng hàng hơi bẩn",negative,negative,neutral,neutral
"Vải mềm mát, mặc dễ chịu, giao đúng size",positive,positive,neutral,neutral
"Giá 9k rất rẻ, màu tối dễ mang, vải co giãn tốt",positive,neutral,neutral,positive
"Size to vừa ý, màu đẹp hơn mong đợi",negative,neutral,neutral,neutral
"Chất cotton mềm mịn, chất lượng tuyệt vời, ship nhanh",positive,neutral,positive,neutral
"Quần dễ thương, vải bình thường, ship nhanh",neutral,neutral,positive,neutral
"Chất cotton mềm mịn co giãn tốt, giá hợp lý",positive,neutral,neutral,positive
"Vải cotton pha mát, mặc thoải mái",positive,neutral,neutral,neutral
"Màu đẹp, shop tư vấn nhiệt tình, ship nhanh",positive,neutral,positive,neutral
"Mát mẻ đẹp hơn mong đợi, đóng gói lịch sự, giao nhanh",negative,positive,positive,neutral
"Vải ổn trong tầm giá, giao hàng nhanh, đường may ok",positive,neutral,positive,positive
"Vải mặc mát, giá rẻ hợp lý",positive,neutral,neutral,positive
"Mua sale giá rẻ, vải mềm, giao nhanh, đóng gói đẹp",positive,positive,positive,positive
"Quần xinh, giao hàng nhanh",positive,neutral,positive,neutral
"Sản phẩm ok, mua sale rất rẻ",positive,neutral,neutral,positive
"Vải thoáng mát, đóng gói cẩn thận, giao nhanh",positive,positive,positive,neutral
"Chất lượng vượt mong đợi, đóng gói cẩn thận, giao nhanh",negative,positive,positive,neutral
"Nón mềm thoáng mát, tiện dụng",positive,neutral,neutral,neutral
"Vải thoải mái mặc ở nhà",positive,neutral,neutral,neutral
"Quần co giãn thoải mái, đóng gói cẩn thận, giao đúng size",positive,positive,neutral,neutral
"Chất lượng tốt hơn trước, giá mềm, giao nhanh",positive,neutral,positive,positive
"Quần đũi thoáng mát, thoải mái",positive,neutral,neutral,neutral
"In hình rõ, một số vải hơi khô nhưng giá ok",positive,neutral,neutral,positive
"Thun mềm mát, giao đúng size đúng mẫu",positive,positive,neutral,neutral
"Vải đẹp, giá rất ổn",positive,neutral,neutral,positive
"Chất lượng tốt, giao nhanh, hỗ trợ nhiệt tình",positive,neutral,positive,neutral
"Thun mát co giãn tốt, giá rẻ, giao nhanh",positive,neutral,positive,positive
"Quần vừa vặn thoải mái, cá mập hơi ố nhẹ",positive,neutral,neutral,neutral
"Vải mát, đường may chắc chắn",negative,neutral,neutral,neutral
"Có mẫu dày dặn nhưng cũng có mẫu mỏng dễ lộ",negative,neutral,neutral,neutral
"Vải đẹp, màu đẹp, giá 32k quá ổn",positive,neutral,neutral,positive
"Sản phẩm đẹp, vải mát, không có gì để chê",positive,neutral,neutral,neutral
"Quần rất xinh, nên mua",positive,neutral,neutral,neutral
"Giá tốt, giao nhanh",positive,neutral,positive,positive
"Thun mềm mịn, shop gói kỹ, giao nhanh, vừa giá",positive,positive,positive,neutral
"Quần mát đẹp, may chắc chắn, giá rẻ chất lượng",negative,neutral,neutral,positive
"Quần đẹp, vải đẹp, giá rẻ",positive,neutral,neutral,positive
"Bảng mắt xinh, giá rẻ, giao siêu nhanh",positive,neutral,positive,positive
"Vải cotton mềm mịn thoáng mát, giá hợp lý, đóng gói kỹ",positive,positive,neutral,positive
"quần tốt vải mịn mát thấm hút ok nhe mọi người nên mua",positive,neutral,neutral,neutral
"giao hàng rất nhanh dùng ổn chất cotton thấm hút tốt mua lần 2",positive,neutral,positive,neutral
"đã mua lần 2 cực kỳ ưng ý vải dày dặn thích thấm hút tạm",positive,neutral,neutral,neutral
"tã vải mặc đỡ hăm thấm hút ok chịu khó giặt cải thiện cho con",positive,neutral,neutral,neutral
"hàng rẻ chất lượng tạm ổn các nhóc chơi thích nên mua",positive,neutral,neutral,positive
"bé mặc thử thấy ok thấm được 2 lần tè màu đẹp. shop giao hàng nhanh",positive,neutral,positive,neutral
"thấm hút tốt hàng đẹp nên mua. nhận hàng nhanh",positive,neutral,positive,neutral
"quần bỏ bỉm màu xinh lớp bông mịn thấm 1 lần phải thay tiết kiệm bỉm. nên mua",positive,neutral,neutral,neutral
"giá phù hợp chất lượng màu sắc đẹp cho bé hy vọng dùng tốt",positive,neutral,neutral,positive
"chất liệu thoáng dày dặn nhưng lưng thun cứng ít giãn. giao hàng nhanh",neutral,neutral,positive,neutral
"giao hàng nhanh gói hàng cẩn thận thảm chưa dùng chưa biết chất lượng",neutral,positive,positive,neutral
"giao hàng rất nhanh form dáng đẹp còn xài tốt hay không chưa biết",positive,neutral,positive,neutral
"cho con mặc đỡ bí vải thấm hút tạm xi xong phải thay liền không thôi hầm",neutral,neutral,neutral,neutral
"hàng giao đúng mô tả chất lượng khá ok đỡ bị hăm bé so với mặc tã",positive,neutral,neutral,neutral
"quần đẹp y hình chọn ngẫu nhiên giao toàn màu đẹp",positive,neutral,neutral,neutral
"giao hàng nhanh vải mềm mịn giá sale rẻ nên mua",positive,neutral,positive,positive
"sản phẩm đẹp cotton chất lượng ok nên mua. đóng gói cẩn thận giao nhanh",positive,positive,positive,neutral
"sản phẩm thấm hút tốt vải thoáng khí mặc không bị hăm đã mua thêm",positive,neutral,neutral,neutral
"vải đẹp tốt co giãn thoải mái mặc đỡ tốn bỉm. thấm trong 1 lần phải kiểm tra thay thường xuyên",positive,neutral,neutral,neutral
"vải thoáng khí có lỗ đỡ hầm thấm hút ok",positive,neutral,neutral,neutral
"vải rất mềm mại chất lượng có vẻ tốt chờ bé sử dụng",positive,neutral,neutral,neutral
"chất liệu thoải mái màu dễ thương lưng thun thoải mái thấm hút tốt",positive,neutral,neutral,neutral
"chất cotton tốt dùng ok nên mua. không như loại tã nilon to đùng mang bỏ",positive,neutral,neutral,neutral
"vải thun cotton hàng đẹp shop đóng gói cẩn thận",positive,positive,neutral,neutral
"chân ái cho bạn bị dị ứng bỉm chất bên trong mềm thấm hút tốt. shop giao nhanh đóng gói đẹp có hướng dẫn",positive,positive,positive,neutral
"quần đẹp giá ổn mong bỏ được tã cho bé. giao hàng nhanh",positive,neutral,positive,positive
"vải mặc rất thoải mái thấm hút rất tốt size vừa vặn. nên mua",positive,neutral,neutral,neutral
"thun lỗ vải mềm mặc mát hơn loại họa tiết giá rẻ. giao hàng nhanh",positive,neutral,positive,positive
"hàng giao nhanh vải mềm mịn màu nhã nhặn",positive,neutral,positive,neutral
"màu sắc đẹp không trùng vải thoáng mát mặc mùa hè chống hăm thấm hút vừa phải",positive,neutral,neutral,neutral
"bỉm thấm hút ok vải mềm mặc đi tè 1 lần phải thay giá sale hợp lý. giao hàng nhanh",positive,neutral,positive,positive
"giao hàng nhanh giống hình vải nhìn thoáng mát",positive,neutral,positive,neutral
"thun thông hơi vải mềm thoáng mát độ hút tốt nên thay sau khi bé tè",positive,neutral,neutral,neutral
"bỉm mặc thoải mái con rất thích đái 1-2 lần là phải thay. thời gian giao nhanh",positive,neutral,positive,neutral
"mẫu mã đẹp nhìn rất thích cotton thấm hút tốt. giao hàng nhanh nhân viên nhiệt tình",positive,neutral,positive,neutral
"tã thun cotton thấm hút tốt chất mềm tè hai lần thì thay tiết kiệm tiền đỡ hăm",positive,neutral,neutral,neutral
"quần con mặc vừa co giãn tốt bóc ra rất ưng ý",positive,neutral,neutral,neutral
"tã vải chất bông thấm hút thoáng được 2-3 lần tè phù hợp cho bé",positive,neutral,neutral,neutral
"chất liệu vải mềm thoải mái dành cho các bé tập bỏ bỉm thấm hút trung bình",neutral,neutral,neutral,neutral
"sản phẩm đẹp vải thông hơi mát dày dặn thấm hút tốt 2 lần tè ok. shipper nhiệt tình",positive,neutral,neutral,neutral
"sản phẩm mẫu mã đẹp chất liệu vải tốt dùng thích",positive,neutral,neutral,neutral
"quần đẹp vải dày dặn co giãn thoáng nhìn chung khá ok",positive,neutral,neutral,neutral
"tiện lợi gói hàng rất kĩ giao hàng nhanh shipper dễ thương mua lần 3",positive,positive,positive,neutral
"vải tốt ưng ý lắm không nghĩ mua được hàng tốt đến vậy",positive,neutral,neutral,neutral
"sản phẩm đúng quảng cáo chất vải mềm mịn. shop chuẩn bị và giao nhanh",positive,positive,positive,neutral
"giao hàng nhanh nhìn vải mềm khá chắc chắn",positive,neutral,positive,neutral
"độ thấm hút ok vải cotton co giãn thoải mái nên mua loại này shop chu đáo",positive,neutral,neutral,neutral
"chất lượng sản phẩm tốt cotton mềm khá tốt. giao hàng nhanh shop nhiệt tình tư vấn",positive,neutral,positive,neutral
"chất liệu đẹp nhìn rất thích",positive,neutral,neutral,neutral
"giao hàng siêu nhanh màu sắc dễ thương cotton mềm mịn",positive,neutral,positive,neutral
"sản phẩm tàm tạm trong tầm tiền bỏ ra",neutral,neutral,neutral,neutral
"quần thoáng mát mềm mại bé mặc thoải mái thấm hút tốt rất tiện lợi",positive,neutral,neutral,neutral
"hàng đẹp chất lượng tốt thun thấm hút tốt",positive,neutral,neutral,neutral
"sản phẩm tốt giá ok giao hàng nhanh shipper thân thiện",positive,neutral,positive,positive
"vải thông hơi thấm hút tốt sản phẩm y hình. giao hàng nhanh",positive,neutral,positive,neutral
"quần đẹp thấm hút tốt đi êm thoải mái",positive,neutral,neutral,neutral
"sản phẩm đúng mô tả vải co giãn tốt hình ảnh giống",positive,neutral,neutral,neutral
"vải cotton mát vừa phải bên trong có lớp chống tràn và thấm nước",positive,neutral,neutral,neutral
"vải thun màu đẹp. giao hàng nhanh",positive,neutral,positive,neutral
"quần thoáng mát mặc tiện lợi thấm hút tốt tè 1 lần thay tặng thêm bộ đồ cưng. nên mua",positive,neutral,neutral,neutral
"sản phẩm đẹp cotton hài lòng đúng size. giao hàng nhanh",positive,neutral,positive,neutral
"quần vải mềm co giãn thoải mái mặc vừa vặn",positive,neutral,neutral,neutral
"sản phẩm giống mô tả chất lượng tốt đóng gói ok giao hàng nhanh",positive,positive,positive,neutral
"vải tốt thấm hút tốt. giao hàng nhanh đóng gói cẩn thận có túi zip. nên mua",positive,positive,positive,neutral
"vải mềm thun co giãn tốt. giao hàng nhanh",positive,neutral,positive,neutral
"vải dày bỉm thấm hút được 1-2 lần tè. shop đóng gói cẩn thận giao nhanh shipper thân thiện",positive,positive,positive,neutral
"chất lượng sản phẩm tốt vải thun tốt giá rẻ. giao hàng nhanh chóng đóng gói chắc chắn",positive,positive,positive,positive
"vải dày dặn thấm hút tạm được mặc mát thời trang nên thay 2-3 tiếng một lần. giao nhanh gói chắc chắn",positive,positive,positive,neutral
"vải thun thoáng không bị hăm màu đẹp vừa vặn thấm hút được",positive,neutral,neutral,neutral
"vải thoáng mỏng mát thấm hút ổn tiểu 2 lần là thay mặc ban ngày đỡ tốn tiền tã",positive,neutral,neutral,neutral
"quần thun mềm thoáng thấm tốt mặc qua đêm cũng được",positive,neutral,neutral,neutral
"sản phẩm xinh mềm mại chất vải tốt. giao hàng nhanh",positive,neutral,positive,neutral
"quần đẹp vải dày dặn y hình giá rẻ nên mua",positive,neutral,neutral,positive
"vải đẹp thun co giãn tốt đúng hình",positive,neutral,neutral,neutral
"thun thấm hút tốt phù hợp trẻ nhỏ. shop giao hàng nhanh",positive,neutral,positive,neutral
"quần đẹp nhìn rất ưng vải thấm hút tạm giao đủ số lượng",positive,neutral,neutral,neutral
"thảm vải thoáng khí tốt hơn cotton có voucher giảm giá rẻ. shop đóng gói cẩn thận",positive,positive,neutral,positive
"đóng gói hàng kĩ đẹp chắc chắn giao hàng nhanh lắm đặt hôm trước hôm sau có luôn",neutral,positive,positive,neutral
"quần dày dặn đẹp cotton. shop giao hàng nhanh đóng gói cẩn thận",positive,positive,positive,neutral
"vải thoáng khí lớp lót mềm mại thấm hút tốt giặt mau khô dày vừa phải",positive,neutral,neutral,neutral
"vải mềm khá dễ chịu nhận hàng sớm",positive,neutral,positive,neutral
"giao đúng mẫu đúng size chất lượng sản phẩm tốt cotton màu sắc ok. shop tư vấn nhiệt tình",positive,neutral,neutral,neutral
"sản phẩm cotton ok rất ưng ý tiện lợi tiết kiệm. giao hàng nhanh dễ tính",positive,neutral,positive,neutral
"bỉm đẹp cotton đường may chắc chắn. giao hàng nhanh shipper thân thiện",positive,neutral,positive,neutral
"quần thấm hút nhanh cotton đúng quảng cáo vừa vặn",positive,neutral,neutral,neutral
"quần bỏ bỉm thoáng khí cotton màu sắc dễ thương mặc đỡ bị hăm",positive,neutral,neutral,neutral
"thoáng mát tốt bé tè 1 lần thay tiện lợi không bị ướt ra ngoài thấm hút tốt",positive,neutral,neutral,neutral
"hàng đẹp vải tốt mới nhận chưa dùng thử",positive,neutral,neutral,neutral
"chất vải thun co giãn thông thoáng ok",positive,neutral,neutral,neutral
"quá xịn xò chất vải tốt",positive,neutral,neutral,neutral
"chất vải đẹp xinh hơn mong đợi nhận hàng rất nhanh rất ưng",positive,neutral,positive,neutral
"quần thoáng khí bông mềm gói hàng cẩn thận giao nhanh",positive,positive,positive,neutral
"quần bông sờ mát mịn dày dặn thoải mái không cộm chất lượng so với giá rất tốt. nên mua",positive,neutral,neutral,positive
"thấm hút tốt không bị tràn dễ giặt sạch xài thông thoáng không bị hăm thoải mái",positive,neutral,neutral,neutral
"chất lượng vải thấm hút ok tạm ổn đúng số ký",positive,neutral,neutral,neutral
"bỉm giao đúng màu đúng size thun cotton mát mẻ dễ chịu thấm hút tốt",positive,neutral,neutral,neutral
"đẹp chất liệu thun thấm hút rất tốt dễ sử dụng giặt nhanh khô",positive,neutral,neutral,neutral
"dày dặn đẹp thun nhưng sợ lớp vải bông bên trong nóng",neutral,neutral,neutral,neutral
"quần xinh vải thun đường may ok hài lòng",positive,neutral,neutral,neutral
"quần xinh vải mềm hút tốt không bị hăm giặt sạch không dính ố. shipper nhiệt tình dễ thương",positive,neutral,positive,neutral
"vải mềm mịn mới nhận chưa sử dụng",positive,neutral,neutral,neutral
"vải mặc thoáng mát dày dặn. shop rất nhiệt tình đáp ứng yêu cầu mua lần 2 ổn",positive,neutral,neutral,neutral
"bình luận rác châm ngôn cuộc sống không liên quan",neutral,neutral,neutral,neutral
"chất liệu vải tốt nhìn cũng được",neutral,neutral,neutral,neutral
"chất vải dày dặn test thử khá ổn với nửa ly nước",positive,neutral,neutral,neutral
"chất lượng vải bông phù hợp giá tiền mẫu mã đúng mô tả. giao tương đối nhanh đóng gói tạm ổn",positive,neutral,positive,positive
"vải cotton mềm đẹp rẻ hơn shop khác tặng thêm 1 cái. giao hàng cực nhanh",positive,neutral,positive,positive
"vải cotton mềm tốt mặc được 1-2 lần",positive,neutral,neutral,neutral
"chất liệu khá ổn",neutral,neutral,neutral,neutral
"gói hàng tốt đóng túi zip từng cái giao nhanh",neutral,positive,positive,neutral
"vải bông dùng ổn thấm hút ổn thay thường xuyên cho bé tè nhiều",positive,neutral,neutral,neutral
"bình luận rác rao bán dâu tây không liên quan",neutral,neutral,neutral,neutral
"vải cotton đẹp co giãn tốt mặc buổi trưa thoáng",positive,neutral,neutral,neutral
"vải tốt dùng thay bỉm hôm nắng nóng phải thay liên tục",positive,neutral,neutral,neutral
"vải chất lượng tốt bé dùng rất tốt",positive,neutral,neutral,neutral
"vải thoáng mát chất liệu mềm mại mặc không lo mùa hè shop kèm hướng dẫn sử dụng",positive,neutral,neutral,neutral
"vải thông hơi thoáng mát thấm hút tốt ít tràn nên thay ngay sau khi bé tè",positive,neutral,neutral,neutral
"vải lông thấm hút xọc xạch phải chịu khó để ý thay tả liền không hăm tả. giao đúng mẫu khá nhanh",negative,neutral,positive,neutral
"sản phẩm không như quảng cáo nhựa pc cứng trơn khó cầm",negative,neutral,neutral,neutral
"chất lượng kém không như mô tả ốp bọc được viền lòi màn hình rơi dễ hỏng màn. không bao giờ mua lại",negative,neutral,neutral,neutral
"ốp lưng không đúng mô tả. quảng cáo mềm nhận về cứng ngắc thô không đẹp",negative,neutral,neutral,neutral
"ốp cứng tháo ra làm hỏng miếng dán ppf trên điện thoại",negative,neutral,neutral,neutral
"ốp mỏng bé hơn máy lắp xước cạnh cứng ngắc kém không nên mua",negative,neutral,neutral,neutral
"đóng gói giao hàng nhanh. khuyên đừng mua vứt đi dùng có ngày thay điện thoại mới",negative,positive,positive,neutral
"chất lượng kém ốp cứng đeo hỏng máy rơi vỡ luôn điện thoại. không nên mua",negative,neutral,neutral,neutral
"đặt iphone 15 giao 13 14 không vừa. nhắn shop không trả lời. tệ quá",negative,neutral,neutral,neutral
"chất lượng kém vỡ cạnh không như mô tả giao sai màu. hộp méo vỡ viền",negative,negative,neutral,neutral
"chất lượng kém ốp mỏng giòn rơi nhẹ là vỡ",negative,neutral,neutral,neutral
"mỏng nhựa cứng dỏm lỗi bể lười trả lại",negative,neutral,neutral,neutral
"ốp quá mỏng không vừa điện thoại gắn gãy 1 góc",negative,neutral,neutral,neutral
"siêu mỏng nhựa cứng chật tháo lắp khó. rơi chắc bể cả điện thoại",negative,neutral,neutral,neutral
"không nên mua phí tiền rơi vỡ màu đục xấu rẻ tiền không đẹp",negative,neutral,neutral,neutral
"giao hàng nhanh ốp bể mà cũng giao cho khách",negative,neutral,positive,neutral
"lỗi hư hỏng ốp xước như bị dao cứa",negative,neutral,neutral,neutral
"không đúng mô tả ốp quá nhỏ cứng không vừa chầy điện thoại",negative,neutral,neutral,neutral
"chưa lắp đã gãy trơn cứng cầm trơn tay",negative,neutral,neutral,neutral
"chất lượng kém gửi ốp cũ cắt vẹt nham nhở",negative,neutral,neutral,neutral
